"HEADER","POST","ClientAccountID","CurrencyPrimary","AssetClass","Symbol","Description","Quantity","MarkPrice","PositionValue","CostBasisPrice","CostBasisMoney"
"HEADER","TRNT","ClientAccountID","CurrencyPrimary","AssetClass","Symbol","Description","TradeDate","Quantity","Proceeds","IBCommission","NetCash","CostBasis","FifoPnlRealized","OrigTradePrice","Buy/Sell"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","106","-448.38","-0.22419","-450.84609","450.84609","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","53","-224.19","-0.112095","-225.423045","225.423045","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","388","-1641.24","-0.82062","-1650.26682","1650.26682","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-03-06","280","-1184.4","-0.5922","-1190.9142","1190.9142","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-04-16","-200","789","-3","786","-853.23","-67.23","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-04-16","-3639","14283.08","-4.53604","14278.54396","-15475.054335","-1196.510375","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","CHG","CHEMRING GROUP PLC","2025-04-16","-900","3532.5","-1.76625","3530.73375","-3827.9385","-297.20475","0","SELL"
"DATA","TRNT","U17419949","GBP","STK","GLEN","GLENCORE PLC","2025-07-08","1","-3.06","-3","-6.06","6.06","0","0","BUY"
"DATA","TRNT","U17419949","GBP","STK","GLEN","GLENCORE PLC","2025-07-09","-1","3","-3","0","-6.06","-6.06","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-07","197","-12310.53","-15","-12325.53","12325.53","0","0","BUY"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-07","3437","-214778.13","-212.08866","-214990.21866","214990.21866","0","0","BUY"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-07","1230","-76862.7","-76.8627","-76939.5627","76939.5627","0","0","BUY"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-07","416","-25995.84","-25.99584","-26021.83584","26021.83584","0","0","BUY"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-145","9197.35","-15","9182.35","-9072.090609","110.259391","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-9","570.6","0","570.6","-563.095279","7.504721","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-21","1330.98","0","1330.98","-1313.888985","17.091015","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-223","14106.98","-10.20591","14096.77409","-13949.348333","147.425757","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-336","21255.36","-21.25536","21234.10464","-21017.373718","216.730922","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-237","14992.62","-14.99262","14977.62738","-14824.754676","152.872704","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-61","3856.42","-3.85642","3852.56358","-3815.654157","36.909423","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-424","26801.04","-26.80104","26774.23896","-26521.923978","252.314982","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-85","5372.85","-5.37285","5367.47715","-5316.895137","50.582013","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-180","11365.2","-11.3652","11353.8348","-11259.307349","94.527451","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-3200","202016","-202.016","201813.984","-200166.471068","1647.512932","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-86","5429.18","-5.42918","5423.75082","-5379.51414","44.23668","0","SELL"
"DATA","TRNT","U17419949","ILS","STK","TASE","TEL AVIV STOCK EXCHANGE LTD","2025-07-16","-273","17234.49","-17.23449","17217.25551","-17076.82977","140.42574","0","SELL"
"DATA","TRNT","U17419949","USD","STK","AAPL","APPLE INC","2025-04-14","90","-18823.5","-1.00414","-18824.50414","18824.50414","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","AAPL","APPLE INC","2025-04-14","2","-418.3","-0.000092","-418.300092","418.300092","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","AAPL","APPLE INC","2025-04-14","147","-30745.05","-0.201762","-30745.251762","30745.251762","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","AAPL","APPLE INC","2025-04-14","-75","15691.5","-1.4521237","15690.0478763","-15687.086783","2.961093","0","SELL"
"DATA","TRNT","U17419949","USD","STK","AAPL","APPLE INC","2025-04-14","-25","5230.25","-0.15070095","5230.09929905","-5228.928429","1.17087","0","SELL"
"DATA","TRNT","U17419949","USD","STK","AAPL","APPLE INC","2025-04-14","-139","29077.8131","-1.032831204","29076.780268796","-29072.040782","4.739487","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-03","25","-199.75","-1.000875","-200.750875","200.750875","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-03","60","-479.4","-0.0021","-479.4021","479.4021","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-03","170","-1358.3","-0.28095","-1358.58095","1358.58095","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-03","50","-399.5","-0.25175","-399.75175","399.75175","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-03","100","-799","-0.5035","-799.5035","799.5035","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-03","895","-7151.05","-4.506325","-7155.556325","7155.556325","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-04","5326","-40024.89","-26.874996","-40051.764996","40051.764996","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","2456","-17437.6","-12.36596","-17449.96596","17449.96596","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","2234","-15861.4","-11.24819","-15872.64819","15872.64819","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","8300","-58930","-41.7905","-58971.7905","58971.7905","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","645","-4579.5","-3.247575","-4582.747575","4582.747575","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","8502","-60364.2","-42.80757","-60407.00757","60407.00757","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","2490","-17679","-12.53715","-17691.53715","17691.53715","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","1003","-7121.3","-5.050105","-7126.350105","7126.350105","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","4468","-31722.8","-22.49638","-31745.29638","31745.29638","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","8429","-59845.9","-42.440015","-59888.340015","59888.340015","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","184","-1306.4","-0.92644","-1307.32644","1307.32644","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","429","-3045.9","-2.160015","-3048.060015","3048.060015","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","984","-6986.4","-4.95444","-6991.35444","6991.35444","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","3250","-23075","-16.36375","-23091.36375","23091.36375","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-03-10","7500","-49912.5","-37.845","-49950.345","49950.345","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2133","-1.6195974","2131.3804026","-2398.5105","-267.130097","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-100","711","-0.5398658","710.4601342","-799.5035","-89.043366","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-150","1066.5","-0.8097987","1065.6902013","-1199.25525","-133.565048","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2133","-1.6195974","2131.3804026","-2398.5105","-267.130097","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-10","71.1","-0.05398658","71.04601342","-79.95035","-8.904337","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-99","703.89","-0.534467142","703.355532858","-791.508465","-88.152932","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2133","-1.6195974","2131.3804026","-2398.5105","-267.130097","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-100","711","-0.5398658","710.4601342","-771.479149","-61.019015","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-100","711","-0.5398658","710.4601342","-752.0046","-41.544466","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-10","71.1","-0.05398658","71.04601342","-75.20046","-4.154447","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2133","-1.6195974","2131.3804026","-2256.0138","-124.633397","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-200","1422","-1.0797316","1420.9202684","-1504.0092","-83.088932","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-9","63.99","-0.048686922","63.941313078","-67.680414","-3.739101","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-1","7.11","-0.005398658","7.104601342","-7.520046","-0.415445","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-9900","70309.8","-53.55341244","70256.24658756","-72268.402617","-2012.156029","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-3000","21300","-16.22814","21283.77186","-21315.105","-31.33314","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-537","3812.7","-2.89893006","3809.80106994","-3815.403795","-5.602725","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-100","710","-0.539838","709.460162","-710.5035","-1.043338","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-20","142","-0.1079676","141.8920324","-142.1007","-0.208668","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-10","71","-0.0539838","70.9460162","-71.05035","-0.104334","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-13200","93720","-71.403816","93648.596184","-93786.462","-137.865816","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-800","5681.6","-4.32754848","5677.27245152","-5684.028","-6.755548","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-1","7.1","-0.00540938","7.09459062","-7.105035","-0.010444","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-100","710","-0.539838","709.460162","-710.5035","-1.043338","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-100","710","-0.539838","709.460162","-710.5035","-1.043338","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-100","710","-0.540938","709.459062","-710.5035","-1.044438","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-1","7.1","-0.00539838","7.09460162","-7.105035","-0.010433","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-200","1420","-1.079676","1418.920324","-1421.007","-2.086676","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2130","-1.619514","2128.380486","-2131.5105","-3.130014","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-15","106.5","-0.0809757","106.4190243","-106.575525","-0.156501","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-1864","13234.4","-10.06258032","13224.33741968","-13243.78524","-19.44782","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-200","1420","-1.081876","1418.918124","-1421.007","-2.088876","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-20","142","-0.1079676","141.8920324","-142.1007","-0.208668","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-800","5681.6","-4.32754848","5677.27245152","-5684.028","-6.755548","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-63","447.3","-0.34009794","446.95990206","-447.617205","-0.657303","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-7100","50339","-38.4046242","50300.5953758","-50445.7485","-145.153124","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-2","14.18","-0.010796204","14.169203796","-14.21007","-0.040866","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2127","-1.6194306","2125.3805694","-2131.5105","-6.129931","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-45","319.05","-0.24291459","318.80708541","-319.726575","-0.91949","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-420","2979.9","-2.27188122","2977.62811878","-2984.1147","-6.486581","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-200","1418","-1.0796204","1416.9203796","-1421.007","-4.08662","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-173","1226.57","-0.933871646","1225.636128354","-1229.171055","-3.534927","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2127","-1.6194306","2125.3805694","-2131.5105","-6.129931","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-711","5040.99","-3.838050522","5037.151949478","-5051.679885","-14.527936","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-1","7.09","-0.005398102","7.084601898","-7.105035","-0.020433","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2128.5","-1.6227723","2126.8772277","-2131.5105","-4.633272","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-119","843.71","-0.642374138","843.067625862","-845.499165","-2.431539","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-500","3545","-2.699051","3542.300949","-3552.5175","-10.216551","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-100","709","-0.5398102","708.4601898","-710.5035","-2.04331","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-400","2836","-2.1592408","2833.8407592","-2842.014","-8.173241","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-24","170.16","-0.129554448","170.030445552","-170.52084","-0.490394","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-100","709","-0.5398102","708.4601898","-710.5035","-2.04331","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-600","4254","-3.2388612","4250.7611388","-4263.021","-12.259861","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-200","1418","-1.0796204","1416.9203796","-1421.007","-4.08662","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-600","4254","-3.2388612","4250.7611388","-4263.021","-12.259861","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2127.6","-1.62274728","2125.97725272","-2131.5105","-5.533247","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-600","4254","-3.2388612","4250.7611388","-4263.021","-12.259861","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-5","35.45","-0.02699051","35.42300949","-35.525175","-0.102166","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-200","1418","-1.0796204","1416.9203796","-1421.007","-4.08662","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2127","-1.6194306","2125.3805694","-2131.5105","-6.12993","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-2000","14180","-10.796204","14169.203796","-14210.07","-40.866204","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2127","-1.6194306","2125.3805694","-2131.5105","-6.129931","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2127","-1.6194306","2125.3805694","-2131.5105","-6.129931","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-40","283.6","-0.21592408","283.38407592","-284.2014","-0.817324","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2127","-1.6194306","2125.3805694","-2131.5105","-6.129931","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-6","42.54","-0.032388612","42.507611388","-42.63021","-0.122599","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-7080","50197.2","-38.29644216","50158.90355784","-47217.204096","2941.699462","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-100","709","-0.5398102","708.4601898","-666.0046","42.45559","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-300","2127","-1.6194306","2125.3805694","-1998.0138","127.366769","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-120","850.8","-0.64777224","850.15222776","-799.20552","50.946708","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","-44","311.96","-0.237516488","311.722483512","-293.042024","18.68046","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","355","-2520.5","-1.787425","-2522.287425","2522.287425","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","4688","-33284.8","-23.60408","-33308.40408","33308.40408","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","4953","-35166.3","-24.938355","-35191.238355","35191.238355","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","18158","-128921.8","-91.42553","-129013.22553","129013.22553","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","10","-71","-0.05035","-71.05035","71.05035","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","500","-3550","-2.5175","-3552.5175","3552.5175","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-15","86","-610.6","-0.43301","-611.03301","611.03301","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-16","219","-1533","-1.102665","-1534.102665","1534.102665","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-16","23176","-162232","-116.69116","-162348.69116","162348.69116","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-16","5000","-35000","-25.175","-35025.175","35025.175","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-16","6667","-45935.63","-33.641682","-45969.271682","45969.271682","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-16","360","-2478.6","-1.81656","-2480.41656","2480.41656","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-04-16","240","-1652.4","-1.21104","-1653.61104","1653.61104","0","0","BUY"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-06-16","-1500","15780.9","-7.818","15773.082","-10657.5525","5115.5295","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-06-16","-100","1052","-0.5201","1051.4799","-710.5035","340.9764","0","SELL"
"DATA","TRNT","U17419949","USD","STK","ACHR","ARCHER AVIATION INC-A","2025-06-16","-100","1052.14","-0.5212","1051.6188","-710.5035","341.1153","0","SELL"
